code,dividPreNoticeDate,dividAgmPumDate,dividPlanAnnounceDate,dividPlanDate,dividRegistDate,dividOperateDate,dividPayDate,dividStockMarketDate,dividCashPsBeforeTax,dividCashPsAfterTax,dividStocksPs,dividCashStock,dividReserveToStockPs
sh.601318,sh.601318,,2020-04-10,2020-02-21,2020-04-29,2020-05-07,2020-05-08,2020-05-08,,1.3,1.17或1.3,0.000000,10派13元（含税，扣税后11.7或13元）,
sh.601318,sh.601318,,,2020-08-28,2020-09-10,2020-09-15,2020-09-16,2020-09-16,,0.8,0.72或0.8,0.000000,10派8元（含税，扣税后7.2或8元）,
sh.601318,sh.601318,,2021-03-26,2021-02-04,2021-04-15,2021-04-21,2021-04-22,2021-04-22,,1.4,1.26或1.4,0.000000,10派14元（含税，扣税后12.6或14元）,
sh.601318,sh.601318,,,2021-08-27,2021-10-16,2021-10-22,2021-10-25,2021-10-25,,0.88,0.792或0.88,0.000000,10派8.8元（含税，扣税后7.92或8.8元）,
sh.601318,sh.601318,,2022-04-30,2022-03-18,2022-06-11,2022-06-17,2022-06-20,2022-06-20,,1.5,1.35或1.5,0.000000,10派15元（含税，扣税后13.5或15元）,
sh.601318,sh.601318,,,2022-08-24,2022-10-13,2022-10-19,2022-10-20,2022-10-20,,0.92,0.828或0.92,0.000000,10派9.2元（含税，扣税后8.28或9.2元）,
sh.601318,sh.601318,,2023-05-13,2023-03-16,2023-06-07,2023-06-13,2023-06-14,2023-06-14,,1.5,1.35或1.5,0.000000,10派15元（含税，扣税后13.5或15元）,
sh.601318,sh.601318,,,2023-08-30,2023-10-18,2023-10-24,2023-10-25,2023-10-25,,0.93,0.837或0.93,0.000000,10派9.3元（含税，扣税后8.37或9.3元）,
sh.601318,sh.601318,,2024-05-31,2024-03-22,2024-07-19,2024-07-25,2024-07-26,2024-07-26,,1.5,1.35或1.5,0.000000,10派15元（含税，扣税后13.5或15元）,
sh.601318,sh.601318,,,2024-08-23,2024-10-11,2024-10-17,2024-10-18,2024-10-18,,0.93,0.837或0.93,0.000000,10派9.3元（含税，扣税后8.37或9.3元）,
sh.601318,sh.601318,,2025-05-14,2025-03-20,2025-06-20,2025-06-27,2025-06-30,2025-06-30,,1.62,1.458或1.62,0.000000,10派16.2元（含税，扣税后14.58或16.2元）,
sh.601318,sh.601318,,,2025-03-20,,2025-06-27,2025-06-30,2025-06-30,,1.62,,0.000000,10派16.2元,
sh.601318,sh.601318,,,2025-08-27,,2025-10-23,2025-10-24,2025-10-24,,0.95,,0.000000,10派9.5元,
sh.601318,sh.601318,,,2025-08-27,2025-10-17,2025-10-23,2025-10-24,2025-10-24,,0.95,0.855或0.95,0.000000,10派9.5元（含税，扣税后8.55或9.5元）,
sh.600036,sh.600036,,2020-06-24,2020-03-21,2020-07-03,2020-07-09,2020-07-10,2020-07-10,,1.2,1.08或1.2,0.000000,10派12元（含税，扣税后10.8或12元）,
sh.600036,sh.600036,,2021-06-26,2021-03-20,2021-07-06,2021-07-12,2021-07-13,2021-07-13,,1.253,1.1277或1.253,0.000000,10派12.53元（含税，扣税后11.277或12.53元）,
sh.600036,sh.600036,,2022-06-30,2022-03-19,2022-07-08,2022-07-14,2022-07-15,2022-07-15,,1.522,1.3698或1.522,0.000000,10派15.22元（含税，扣税后13.698或15.22元）,
sh.600036,sh.600036,,2023-06-28,2023-03-25,2023-07-06,2023-07-12,2023-07-13,2023-07-13,,1.738,1.5642或1.738,0.000000,10派17.38元（含税，扣税后15.642或17.38元）,
sh.600036,sh.600036,,2024-06-26,2024-03-26,2024-07-04,2024-07-10,2024-07-11,2024-07-11,,1.972,1.7748或1.972,0.000000,10派19.72元（含税，扣税后17.748或19.72元）,
sh.600036,sh.600036,,2025-06-26,2025-03-26,2025-07-04,2025-07-10,2025-07-11,2025-07-11,,2,1.8或2,0.000000,10派20元（含税，扣税后18或20元）,
sh.600036,sh.600036,,,2025-12-30,2026-01-10,2026-01-15,2026-01-16,2026-01-16,,1.013,0.9117或1.013,0.000000,10派10.13元（含税，扣税后9.117或10.13元）,
