date,weekday,scheduled_status,confirmation_status,closure_reason,source_year,sse_daily_result_rows,sse_daily_trade_date,sse_daily_product_names,sse_daily_result_sha256
2024-01-01,MONDAY,CLOSED,CONFIRMED_CLOSED,NEW_YEAR,2024,0,,,4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
2024-01-02,TUESDAY,OPEN,CONFIRMED_OPEN,NONE,2024,3,20240102,主板|科创板|股票,4ddee4875328c777d96b21510452b66abdfbd91d9370c9c753bf43815304a03b
2024-01-03,WEDNESDAY,OPEN,CONFIRMED_OPEN,NONE,2024,3,20240103,主板|科创板|股票,88141bc88e7a229a96a580f0e7ca2e09fb8d3d463346abb4263cf28aeaf07f2e
2024-01-04,THURSDAY,OPEN,CONFIRMED_OPEN,NONE,2024,3,20240104,主板|科创板|股票,26e3ed16511a0a90b910f2b6e6bb4ca6a6ec065b20b3b9d3baa134bf3f73ec13
2024-01-05,FRIDAY,OPEN,CONFIRMED_OPEN,NONE,2024,3,20240105,主板|科创板|股票,92f3d6bd632ee985a0673ce9014f178d4a2b37d20439552255c4485085ff8321
2024-01-06,SATURDAY,CLOSED,WEEKEND_CLOSED,WEEKEND,2024,,,,
2024-01-07,SUNDAY,CLOSED,WEEKEND_CLOSED,WEEKEND,2024,,,,
2024-01-08,MONDAY,OPEN,CONFIRMED_OPEN,NONE,2024,3,20240108,主板|科创板|股票,b595bf7b4405cdc8dadd3168a2e83298d6fea26ba7230bcaa049306d4b30dbf9
2024-01-09,TUESDAY,OPEN,CONFIRMED_OPEN,NONE,2024,3,20240109,主板|科创板|股票,09606d543eecadccca5bad03085d6227cd5839c376403d1cba2f7da400918ad4
2024-01-10,WEDNESDAY,OPEN,CONFIRMED_OPEN,NONE,2024,3,20240110,主板|科创板|股票,242b73e5992ce08f495c41332ce774afe2dccb7cf65947c0899f2b393dde783f
2024-01-11,THURSDAY,OPEN,CONFIRMED_OPEN,NONE,2024,3,20240111,主板|科创板|股票,3be4e6cfed38144abde0a92c78178f5e71102763e6b34efed1561a0c3623becd
2024-01-12,FRIDAY,OPEN,CONFIRMED_OPEN,NONE,2024,3,20240112,主板|科创板|股票,29b93e774cab55b273b6c4608b372ddd369e7b94a99f871b5b4d4548a8690638
2024-01-13,SATURDAY,CLOSED,WEEKEND_CLOSED,WEEKEND,2024,,,,
2024-01-14,SUNDAY,CLOSED,WEEKEND_CLOSED,WEEKEND,2024,,,,
2024-01-15,MONDAY,OPEN,CONFIRMED_OPEN,NONE,2024,3,20240115,主板|科创板|股票,7e8f5e2a87a0f12f69ef33c069115b1bf2cb421b55380648a1d7c217cb9520c9
2024-01-16,TUESDAY,OPEN,CONFIRMED_OPEN,NONE,2024,3,20240116,主板|科创板|股票,b589bbe07288c351533a564aa865b0733bd8719504c50714919c870c5fb4b7fe
2024-01-17,WEDNESDAY,OPEN,CONFIRMED_OPEN,NONE,2024,3,20240117,主板|科创板|股票,99e113dedd07657ca61b9ba327df5f5a516d77a3098e63824dcb1b62dba142ca
2024-01-18,THURSDAY,OPEN,CONFIRMED_OPEN,NONE,2024,3,20240118,主板|科创板|股票,6125ab46c254794a9da6e8bd733401636eaeb52ef8e5f1e56c0da1800b3c1bca
2024-01-19,FRIDAY,OPEN,CONFIRMED_OPEN,NONE,2024,3,20240119,主板|科创板|股票,7e9011e7130a9c055cfa07885dd0d7a3c2160af148011fd3250817ba81c22644
2024-01-20,SATURDAY,CLOSED,WEEKEND_CLOSED,WEEKEND,2024,,,,
2024-01-21,SUNDAY,CLOSED,WEEKEND_CLOSED,WEEKEND,2024,,,,
2024-01-22,MONDAY,OPEN,CONFIRMED_OPEN,NONE,2024,3,20240122,主板|科创板|股票,36e82baf41f72a40fa4421dd6c6f3ea5c75533b0f424e5afb7c069cbb2ed668e
2024-01-23,TUESDAY,OPEN,CONFIRMED_OPEN,NONE,2024,3,20240123,主板|科创板|股票,eff5ec1f43e155f9ab5d2e927d8fa786aebdda615579d7ed3aa069031c641975
2024-01-24,WEDNESDAY,OPEN,CONFIRMED_OPEN,NONE,2024,3,20240124,主板|科创板|股票,157e0c7d27d1de509cb04d4f9acee5988f09a6b60bcf6aeab4ab098afee2e08f
2024-01-25,THURSDAY,OPEN,CONFIRMED_OPEN,NONE,2024,3,20240125,主板|科创板|股票,b45e1a31e6093b67c0655c4906c978683dac94afb979eb3956450749117be8c7
2024-01-26,FRIDAY,OPEN,CONFIRMED_OPEN,NONE,2024,3,20240126,主板|科创板|股票,98e223739ca499144cf3038bee32fc1f83984911ef05a8c7b70138e62ab33270
2024-01-27,SATURDAY,CLOSED,WEEKEND_CLOSED,WEEKEND,2024,,,,
2024-01-28,SUNDAY,CLOSED,WEEKEND_CLOSED,WEEKEND,2024,,,,
2024-01-29,MONDAY,OPEN,CONFIRMED_OPEN,NONE,2024,3,20240129,主板|科创板|股票,9025e6b604de2c6b75688ca14ba91daeb1b51073432aa087468df6546b4f1d82
2024-01-30,TUESDAY,OPEN,CONFIRMED_OPEN,NONE,2024,3,20240130,主板|科创板|股票,46bc7318a7a4dc0d8c16a16ee42fc144e1adb15cbb445520ff07d5dd37016b6c
