decision_date,embargo_date,entry_open_date,exit_close_date,valuation_dates,sh.600000_entry_open,sh.600028_entry_open,sh.600031_entry_open,sh.600036_entry_open,sh.600089_entry_open,sh.600183_entry_open,sh.600212_entry_open,sh.600309_entry_open,sh.600426_entry_open,sh.600438_entry_open,sh.600519_entry_open,sh.600547_entry_open,sh.600570_entry_open,sh.600584_entry_open,sh.600660_entry_open,sh.600703_entry_open,sh.600809_entry_open,sh.600845_entry_open,sh.600887_entry_open,sh.600900_entry_open,sh.601012_entry_open,sh.601088_entry_open,sh.601168_entry_open,sh.601186_entry_open,sh.601288_entry_open,sh.601318_entry_open,sh.601398_entry_open,sh.601600_entry_open,sh.601668_entry_open,sh.601688_entry_open,sh.601766_entry_open,sh.601888_entry_open,sh.601899_entry_open,sh.601988_entry_open,sh.601998_entry_open,sh.603288_entry_open,sh.603501_entry_open,sh.603986_entry_open,sh.688041_entry_open,sh.688981_entry_open,sz.000333_entry_open,sz.000651_entry_open,sz.000858_entry_open,sz.002475_entry_open,sz.002594_entry_open,sz.300274_entry_open,sz.300308_entry_open,sz.300394_entry_open,sz.300750_entry_open,sh.600000_exit_close,sh.600028_exit_close,sh.600031_exit_close,sh.600036_exit_close,sh.600089_exit_close,sh.600183_exit_close,sh.600212_exit_close,sh.600309_exit_close,sh.600426_exit_close,sh.600438_exit_close,sh.600519_exit_close,sh.600547_exit_close,sh.600570_exit_close,sh.600584_exit_close,sh.600660_exit_close,sh.600703_exit_close,sh.600809_exit_close,sh.600845_exit_close,sh.600887_exit_close,sh.600900_exit_close,sh.601012_exit_close,sh.601088_exit_close,sh.601168_exit_close,sh.601186_exit_close,sh.601288_exit_close,sh.601318_exit_close,sh.601398_exit_close,sh.601600_exit_close,sh.601668_exit_close,sh.601688_exit_close,sh.601766_exit_close,sh.601888_exit_close,sh.601899_exit_close,sh.601988_exit_close,sh.601998_exit_close,sh.603288_exit_close,sh.603501_exit_close,sh.603986_exit_close,sh.688041_exit_close,sh.688981_exit_close,sz.000333_exit_close,sz.000651_exit_close,sz.000858_exit_close,sz.002475_exit_close,sz.002594_exit_close,sz.300274_exit_close,sz.300308_exit_close,sz.300394_exit_close,sz.300750_exit_close
2024-01-02,2024-01-03,2024-01-04,2024-01-31,2024-01-04|2024-01-05|2024-01-08|2024-01-09|2024-01-10|2024-01-11|2024-01-12|2024-01-15|2024-01-16|2024-01-17|2024-01-18|2024-01-19|2024-01-22|2024-01-23|2024-01-24|2024-01-25|2024-01-26|2024-01-29|2024-01-30|2024-01-31,5.9360006400,5.0782170500,12.8723219300,23.8140270400,13.3263393800,16.4863780200,7.0600000000,71.1219792000,19.6812008000,23.7680968000,1538.4866620000,22.1013264000,26.4907597600,27.7360703600,34.6080060000,13.5456680000,198.7556870000,36.8761911200,22.7893019200,21.6489322000,22.0128850800,28.2558667900,13.4228441600,6.7362675800,3.2589990000,34.5728006400,4.2366552800,5.2865757000,4.0937975400,12.9865721600,4.9169574300,76.2759513600,11.7664617400,3.5413807500,4.6709632200,34.3464141600,98.2094245200,85.3547470800,71.5002382500,52.5000000000,47.2841796000,27.5455862000,117.3384513600,32.0028984000,63.0017242200,58.2504275300,74.5609533000,31.3375040000,145.2833390000,6.1058560800,5.3005558000,12.3434517700,26.3446963400,13.3453363000,13.5498009500,6.0400000000,65.9107809900,17.5119589600,22.3305103000,1458.4362839400,20.0717123200,20.6355270400,22.2840193600,34.7997654000,10.9660150500,179.9683281700,32.2578160000,23.6627899200,22.1947036000,19.1180128500,31.7739404800,12.9669051600,7.5926476000,3.4079317500,35.5829307400,4.5255181400,5.3907913500,4.4021170200,12.8555836800,5.3088212100,75.6879731200,11.3972807200,3.7774728000,5.4249034800,31.4625764700,85.4059575000,62.2336875000,66.0393141300,43.2900000000,50.3897450000,30.4383045000,109.8743061000,25.0231251600,55.3477635900,54.0576656100,73.2078892000,30.5789939600,141.6302338200
2024-01-03,2024-01-04,2024-01-05,2024-02-01,2024-01-05|2024-01-08|2024-01-09|2024-01-10|2024-01-11|2024-01-12|2024-01-15|2024-01-16|2024-01-17|2024-01-18|2024-01-19|2024-01-22|2024-01-23|2024-01-24|2024-01-25|2024-01-26|2024-01-29|2024-01-30|2024-01-31|2024-02-01,5.9002416000,5.0426428500,12.7401043900,23.8054485000,13.2693486200,16.1464527000,7.0400000000,70.9328250000,19.6093716000,23.2889013000,1509.7070562200,22.2769660800,25.4707527200,26.7547011800,34.8910794000,13.2369064500,195.1403120600,36.8761911200,22.6932182400,21.6307398200,21.5979204600,28.5297800700,13.4593192800,6.7009529400,3.3028027500,34.1248299000,4.2804223800,5.2771015500,4.0595398200,12.9117216000,4.8796370700,74.4361484800,11.7948602800,3.6200781000,4.7056271400,33.2058609900,96.8429292000,80.3063503500,73.8520230900,51.7500000000,47.7513120000,27.6751109000,114.8330040000,32.1992352000,62.3955020100,56.6160779000,73.7918431800,31.0526176000,141.0696550200,6.0790368000,5.2027267500,12.5134457500,26.0959186800,13.2978440000,13.8330720500,5.6100000000,66.4025819100,17.5335077200,23.6914255200,1463.0890020200,19.9838924800,20.6257192800,22.4723629400,35.5759344000,11.3544570000,183.4398075900,32.2578160000,23.5492364800,21.9672988500,19.3551354900,31.0720377000,12.8757173600,7.2924731600,3.4079317500,35.3984722000,4.4992578800,5.2865757000,4.2993438600,12.9772158400,5.2528406700,76.7690944000,11.4824763400,3.7337520500,5.3382436800,31.8983976000,83.4750402000,63.0402360900,68.6601591000,42.6800000000,50.8741786000,30.4642094400,110.0482955000,25.3765314000,55.3996328700,55.5540954400,79.0830359500,35.0232218000,139.2290879600
2024-01-04,2024-01-05,2024-01-08,2024-02-02,2024-01-08|2024-01-09|2024-01-10|2024-01-11|2024-01-12|2024-01-15|2024-01-16|2024-01-17|2024-01-18|2024-01-19|2024-01-22|2024-01-23|2024-01-24|2024-01-25|2024-01-26|2024-01-29|2024-01-30|2024-01-31|2024-02-01|2024-02-02,5.9717596800,4.9981751000,12.6739956200,24.1657471800,13.2598501600,15.9481629300,6.8200000000,70.9328250000,19.5016278000,22.8097058000,1509.4071740000,22.2379350400,25.1078656000,26.4969678600,35.0463132000,13.2169863500,192.9369119100,36.6952326400,22.9203251200,21.5943550600,21.1533155100,28.5041007000,13.2313497800,6.7362675800,3.2677597500,34.2302347800,4.2629155400,5.2297308000,4.0937975400,12.8742963200,4.8609768900,73.0325875200,11.7948602800,3.6025898000,4.8529488000,32.3898554700,95.5556510000,78.6633810000,70.7428838100,50.5900000000,48.0973360000,28.5990537600,113.9717564700,31.8654626400,62.5024824000,54.8920804000,71.0714722000,30.0982481600,140.3315596000,6.1147958400,5.2383009500,12.3623399900,25.9329264200,13.0793794200,13.1721061500,5.2200000000,64.0381544100,17.3323859600,23.0205518200,1450.3394640000,20.3742028800,19.6645588000,21.5901219600,35.7494310000,11.0257753500,188.4131965000,31.2743460000,23.5492364800,22.0855493200,18.6437675700,31.6883425800,12.7571732200,7.3013018200,3.4517355000,35.2227974000,4.5255181400,5.2486791000,4.3250371500,12.5093998400,5.2715008500,74.4645990400,11.3878145400,3.7774728000,5.2689158400,32.1209445600,79.1180986000,59.9235730200,68.0821780800,42.1300000000,50.3897450000,30.7405288000,107.7168375400,25.1605609200,54.1385610000,54.6852007000,78.2284691500,35.2546920000,136.4075080000
2024-01-05,2024-01-08,2024-01-09,2024-02-05,2024-01-09|2024-01-10|2024-01-11|2024-01-12|2024-01-15|2024-01-16|2024-01-17|2024-01-18|2024-01-19|2024-01-22|2024-01-23|2024-01-24|2024-01-25|2024-01-26|2024-01-29|2024-01-30|2024-01-31|2024-02-01|2024-02-02|2024-02-05,5.9002416000,4.9270267000,12.5134457500,24.1228544800,13.2313547800,15.6365647200,6.7200000000,69.7033227000,19.0562867600,23.0109679100,1491.2415813400,21.7110160000,24.6370931200,25.8823730200,35.2654668000,13.2070263000,191.9656171500,36.0343408000,22.7980368000,21.4670084000,21.3607978200,28.6752965000,13.3316563600,6.5861803600,3.2589990000,33.7734803000,4.2716689600,5.2107825000,4.0424109600,12.6778136000,4.8329866200,73.1938073600,11.6528675800,3.5763573500,4.8009529200,32.0003982900,94.0703300000,77.6676420000,69.2580705000,49.4800000000,47.3274326000,28.3313693800,111.4402107000,30.9721302000,61.9189530000,55.2437758900,72.4815074200,30.8033420000,140.1073280800,6.1594946400,5.3539171000,12.3906723200,26.3446963400,13.0698809600,12.9832587500,4.7000000000,66.2134277100,17.3036542800,22.8384575300,1481.2455073400,20.4327494400,18.9289768000,20.7772707200,37.1374038000,10.9958952000,193.0448335500,31.3136848000,24.1519432000,22.5221664400,17.9521598700,32.6384792700,12.8757173600,7.0629280000,3.5218215000,35.7322543200,4.6305591800,5.2107825000,4.3250371500,12.3690550400,5.3368114800,73.8481702400,11.5108748800,3.8824026000,5.5028973000,32.5474929000,78.4447530800,57.6732028800,69.4573743000,42.9700000000,51.4278170000,31.1550078400,110.1091917900,26.4858343200,54.4627440000,55.1610240100,79.7595680000,36.8215672000,141.9572381200
2024-01-08,2024-01-09,2024-01-10,2024-02-06,2024-01-10|2024-01-11|2024-01-12|2024-01-15|2024-01-16|2024-01-17|2024-01-18|2024-01-19|2024-01-22|2024-01-23|2024-01-24|2024-01-25|2024-01-26|2024-01-29|2024-01-30|2024-01-31|2024-02-01|2024-02-02|2024-02-05|2024-02-06,5.9091813600,4.9537073500,12.4473369800,24.0370690800,13.3453363000,15.8537392300,6.8500000000,68.1049697100,19.1065672000,23.3464047600,1491.3233674000,21.8183513600,24.4213224000,25.2380397200,34.7906340000,13.0974657500,188.8628700000,35.4599943200,23.0251436800,21.3851426900,21.7362420000,29.1460849500,13.6690512200,6.6126663400,3.2589990000,33.6329404600,4.2629155400,5.2297308000,4.0766686800,12.6778136000,4.8703069800,75.1568960000,11.6717999400,3.5851015000,4.8356168400,31.8520336500,93.7831679400,76.8013490700,68.3711685900,48.2500000000,47.7253602000,28.7976583000,111.1879260700,30.8837786400,62.1458811000,56.0437107300,72.1610448700,30.1231757200,137.2857481200,6.2578320000,5.3094493500,12.9384307000,26.8765658200,13.6872808600,13.8708415300,4.8400000000,68.3792433000,18.1081413200,24.0747819200,1523.0381840000,20.7547555200,20.2432166400,22.4822757600,37.1282724000,11.5436979500,197.6764706000,33.9257811200,24.5799523200,22.4857816800,19.3650156000,32.3046474600,13.4957944000,7.3189591400,3.5831467500,36.5052234400,4.6568194400,5.3528947500,4.3764237300,13.0239974400,5.4767628300,78.4287104000,11.5392734200,3.8998909000,5.4768993600,34.1145944100,83.2571931200,61.6959884400,76.0343997000,44.9700000000,51.8603470000,30.9995782000,115.6942515300,27.7031224800,57.0140642100,58.0642358000,88.9319183200,40.7743660000,147.9274023400
2024-01-09,2024-01-10,2024-01-11,2024-02-07,2024-01-11|2024-01-12|2024-01-15|2024-01-16|2024-01-17|2024-01-18|2024-01-19|2024-01-22|2024-01-23|2024-01-24|2024-01-25|2024-01-26|2024-01-29|2024-01-30|2024-01-31|2024-02-01|2024-02-02|2024-02-05|2024-02-06|2024-02-07,5.8644825600,4.8736654000,12.5134457500,24.0199120000,13.3643332200,15.4949291700,6.7000000000,68.9088750600,19.1568476400,23.8256002600,1490.4146334000,21.9061712000,24.1270896000,25.3867320200,35.3385180000,12.9480650000,190.5716293000,35.4049200000,23.1299622400,21.2668922200,21.7560022200,28.9748891500,13.2951812400,6.6038376800,3.2502382500,33.2025372000,4.2366552800,5.2107825000,4.0681042500,12.6123193600,4.8516468000,77.0725670400,11.6528675800,3.5238924500,4.8356168400,32.1765813000,92.0899020000,75.8354822400,66.8963204700,47.2800000000,47.7686132000,29.0653426800,111.9621789000,30.4322040000,61.6596066000,58.9951944500,71.2139000000,29.6281856000,140.7613366800,6.2041934400,5.3539171000,12.9950953600,26.8594087400,13.7917639200,13.8708415300,4.5200000000,69.3723028500,18.6181286400,24.5443935100,1554.8347866600,20.9401529600,20.4982184000,23.2951270000,37.7126820000,11.4540575000,203.5492065100,33.9729876800,24.7022406400,22.4675893000,19.5329774700,33.0322296100,14.2070592400,7.4072457400,3.5218215000,37.2254901200,4.5780386600,5.4286879500,4.4106814500,13.0894916800,5.4674327400,79.6615680000,11.5960705000,3.8037052500,5.3555756400,34.8007808700,85.0296761800,62.0345397000,75.4863142500,42.9000000000,52.8638166000,31.7767264000,116.4598048900,27.7129393200,58.2102994800,58.7745227700,88.7396407900,40.1333716000,149.1139608000
2024-01-10,2024-01-11,2024-01-12,2024-02-08,2024-01-12|2024-01-15|2024-01-16|2024-01-17|2024-01-18|2024-01-19|2024-01-22|2024-01-23|2024-01-24|2024-01-25|2024-01-26|2024-01-29|2024-01-30|2024-01-31|2024-02-01|2024-02-02|2024-02-05|2024-02-06|2024-02-07|2024-02-08,5.8287235200,4.7580492500,12.7401043900,24.2429540400,13.3833301400,15.7498731600,7.1000000000,67.4050991700,18.7617870400,24.1993727500,1490.2964979800,21.4377987200,24.4017068800,25.7535063600,35.6307228000,13.0377054500,189.8611451700,35.3813167200,23.1474320000,21.0031027100,21.9338442000,28.3757038500,13.2404685600,6.5596943800,3.1889130000,33.5451030600,4.1753813400,5.1444634500,4.0509753900,12.7152388800,4.8236565300,77.2812044800,11.4256792600,3.4714275500,4.7749549800,32.0653078200,92.9909967400,77.0403264300,67.9227350400,47.5000000000,47.4917940000,28.9271830000,112.1187693600,30.4420208400,63.7927307400,59.9606330500,73.0868255700,30.2050805600,143.8818920000,6.2220729600,5.3272364500,13.3823038700,26.9366156000,13.8962469800,14.1635550000,4.9600000000,70.4977703400,18.9988234000,24.8989981800,1550.3002040000,21.2719168000,21.3318780000,23.7709423600,37.5939738000,11.8126193000,202.5329444000,33.5323931200,24.6148918400,22.4130121600,19.9677023100,32.5871205300,13.8058329200,7.3984170800,3.4692570000,37.5768397200,4.5167647200,5.4002655000,4.3849881600,13.2953307200,5.4954230100,80.0883264000,11.8327250000,3.7687286500,5.2862478000,34.6431434400,86.3367586600,68.2379936700,76.4529376800,44.0000000000,52.1544674000,31.2068177200,116.2162197300,28.4099349600,58.7322341100,58.9814024700,90.4416530000,38.7445504000,152.1410863200
2024-01-11,2024-01-12,2024-01-15,2024-02-19,2024-01-15|2024-01-16|2024-01-17|2024-01-18|2024-01-19|2024-01-22|2024-01-23|2024-01-24|2024-01-25|2024-01-26|2024-01-29|2024-01-30|2024-01-31|2024-02-01|2024-02-02|2024-02-05|2024-02-06|2024-02-07|2024-02-08|2024-02-19,5.8108440000,4.7669428000,12.5417780800,24.4488390000,13.4878132000,15.4666020600,7.1800000000,66.8281788600,18.7977016400,24.8223269000,1485.7800900000,21.7305315200,24.1761284000,25.2479525400,35.6124600000,13.0078253000,189.5823476000,34.9879287200,23.2959249600,21.3578541200,21.6374409000,28.6752965000,13.3590127000,6.5950090200,3.2414775000,33.2640233800,4.2016416000,5.1918342000,4.0595398200,12.7058825600,4.9169574300,75.8966105600,11.5203410600,3.5238924500,4.8442828200,31.8056697000,92.0899020000,75.8255248500,64.5744312000,45.8000000000,47.4398904000,28.8840081000,111.3532160000,29.7941094000,63.1249137600,60.2640566100,70.7581310400,29.2186614000,143.4147430000,6.3651091200,5.5851494000,13.3539715400,27.1253434800,14.1052131000,14.8056361600,5.4500000000,70.5639743100,19.1712134800,24.9181660000,1540.6948856200,20.7254822400,21.8418815200,24.2665833600,37.4204772000,11.9520600000,202.1911925400,34.3821112000,24.7459150400,22.9223988000,19.9479420900,34.0765239900,14.3438409400,7.5131896600,3.5743860000,37.5329210200,4.6130523400,5.5897485000,4.4363747400,13.1082043200,5.5514035500,80.8849420800,12.1640413000,3.9436116500,5.4595674000,35.0326006200,84.8118291000,66.6647260500,85.7006340000,44.8200000000,52.4226360000,31.9321560400,118.4432840500,26.9864931600,59.4875805000,58.8848586100,108.5299836000,46.4934604800,149.5717668200
2024-01-12,2024-01-15,2024-01-16,2024-02-20,2024-01-16|2024-01-17|2024-01-18|2024-01-19|2024-01-22|2024-01-23|2024-01-24|2024-01-25|2024-01-26|2024-01-29|2024-01-30|2024-01-31|2024-02-01|2024-02-02|2024-02-05|2024-02-06|2024-02-07|2024-02-08|2024-02-19|2024-02-20,5.8019042400,4.8203041000,12.4662252000,24.5603600200,13.5448039600,16.5241475000,7.2000000000,65.9202387000,18.4888360800,24.4389705000,1488.9606590000,21.5939228800,24.0192042400,25.7733320000,35.2654668000,12.9480650000,182.4685128300,34.8069702400,23.2347808000,21.3032769800,21.4398387000,29.0091283100,13.1857558800,6.6214950000,3.2414775000,33.4133469600,4.2366552800,5.2013083500,4.0852331100,12.6310320000,4.9542777900,77.2812044800,11.4162130800,3.5326366000,4.8876127200,31.7129418000,92.2879448000,76.0744596000,65.1324818400,45.5900000000,48.1059866000,29.1344225200,111.2836202400,29.8431936000,62.8590837000,59.9330490900,71.8477037100,29.5569640000,141.6956346800,6.3472296000,5.5584687500,13.2406422200,26.9366156000,14.0862161800,14.5223650600,5.7100000000,70.8949941600,19.0131892400,24.5827291500,1517.5857800000,20.8620908800,21.6457263200,23.9196346600,37.5209226000,11.8524595000,200.7072699900,33.6189384800,25.0516358400,23.2316692600,19.7404597800,34.0337250400,14.4897414200,7.4778750200,3.6357112500,37.1991389000,4.6830797000,5.5897485000,4.4449391700,13.3514686400,5.5887239100,80.1641945600,12.4006958000,3.9610999500,5.5202292600,35.0604189900,83.7523001200,69.8510908500,82.1032004100,44.4500000000,53.3742020000,32.7783840800,116.9034778600,26.4858343200,58.0352406600,57.1539651200,113.5861705000,45.8132942000,147.9274023400
2024-01-15,2024-01-16,2024-01-17,2024-02-21,2024-01-17|2024-01-18|2024-01-19|2024-01-22|2024-01-23|2024-01-24|2024-01-25|2024-01-26|2024-01-29|2024-01-30|2024-01-31|2024-02-01|2024-02-02|2024-02-05|2024-02-06|2024-02-07|2024-02-08|2024-02-19|2024-02-20|2024-02-21,5.8823620800,4.8203041000,12.4662252000,24.9807084800,13.7727670000,16.3069729900,7.2100000000,66.2607162600,18.2877143200,24.9085820900,1481.2364200000,21.3499788800,24.0584352800,25.7435935400,35.8498764000,12.9480650000,183.2059773700,35.1846227200,23.4618876800,21.4215274500,21.7362420000,29.2573622200,13.1310432000,6.6656383000,3.2765205000,33.7822640400,4.2716689600,5.2202566500,4.0937975400,12.7807331200,4.9822680600,77.7458969600,11.4446116200,3.5501249000,4.9569405600,31.8613064400,88.9212172000,75.6761640000,66.3681654000,45.9500000000,48.9883478000,29.3416620400,111.0052372000,29.6468568000,62.9563386000,60.9260716500,71.6839117400,30.1053703200,146.5539842800,6.4723862400,5.5584687500,13.2406422200,28.3091820000,14.0957146400,14.7017700900,5.7300000000,73.7985111300,19.2502256000,24.8894142700,1560.8960424400,21.1938547200,22.2047686400,24.1079782400,38.0962008000,11.9221798500,210.3302828900,33.2019472000,25.2001288000,23.0952264100,20.1554244000,33.8796488200,14.3347221600,7.7074201800,3.6619935000,38.2883226600,4.7356002200,5.7034383000,4.5819700500,13.4543881600,5.6447044500,82.3738547200,12.3533649000,3.9873324000,5.6935488600,36.7202484000,84.4256456400,68.9748405300,79.4823554400,44.9900000000,53.3828526000,32.7006692600,122.6799259400,26.9668594800,59.3254890000,57.7194363000,106.7923644400,43.8012840000,150.6088376000
